,Tulane ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brett Benzio,4,8,4,8,0,0,1,4,6,2,0,0,2,2,2,9,0.125,0.0
1,Roshaunda Barnes,7,19,4,11,3,8,0,0,0,2,3,3,0,0,3,17,0.0,0.0
2,Chassity Brown,4,16,1,7,3,9,2,4,2,3,2,3,1,1,2,13,0.125,2.0
3,Tiffany Aidoo,3,8,2,2,1,6,0,0,0,3,1,3,0,4,1,7,0.0,0.25
4,Danielle Nunn,0,2,0,2,0,0,0,0,1,0,0,0,0,1,5,0,0.0,0.0
8,School Totals,23,69,13,34,10,35,3,8,12,16,11,11,3,11,20,59,0.043478260869565216,1.0
