,Georgia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ashley Houts,7,14,6,10,1,4,7,7,1,6,6,3,0,5,2,22,0.5,1.2
1,Jasmine James,2,8,1,5,1,3,3,4,0,6,5,3,0,8,3,8,0.375,0.625
2,Meredith Mitchell,3,10,2,6,1,4,1,4,2,3,2,1,1,2,2,8,0.1,1.0
3,Angel Robinson,6,7,5,6,1,1,5,7,4,9,1,0,3,2,0,18,0.7142857142857143,0.5
4,Porsha Phillips,1,5,1,5,0,0,0,2,3,4,1,0,3,4,3,2,0.0,0.25
7,School Totals,21,50,15,35,6,15,16,24,13,31,15,7,7,22,12,64,0.32,0.6818181818181818
