,Albany ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shereesha Richards,6,18,6,16,0,2,11,16,5,9,2,0,0,2,2,23,0.6111111111111112,1.0
1,Zakiya Saunders,1,8,1,8,0,0,0,0,0,4,5,0,0,5,2,2,0.0,1.0
2,Imani Tate,2,10,2,10,0,0,7,10,3,2,4,3,0,10,5,11,0.7,0.4
3,Erin Coughlin,2,9,0,0,2,9,0,0,0,7,3,4,0,4,3,6,0.0,0.75
4,Cassandra Edwards,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0
8,School Totals,18,54,16,43,2,11,21,32,13,26,14,10,1,22,22,59,0.3888888888888889,0.6363636363636364
