,Boise State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brooke Pahukoa,6,18,5,7,1,11,0,0,1,2,0,0,0,0,2,13,0.0,0.0
1,Marijke Vanderschaaf,2,8,2,7,0,1,4,4,4,5,0,0,0,0,3,8,0.5,0.0
2,Yaiza Rodrigeuz,1,4,0,0,1,4,0,0,0,0,2,1,0,2,0,3,0.0,1.0
3,Marta Hermida,2,8,1,6,1,2,0,0,1,1,1,1,0,2,0,5,0.0,0.5
4,Joyce Harrell,2,9,2,9,0,0,0,0,4,0,0,0,0,1,2,4,0.0,0.0
13,School Totals,21,70,14,41,7,29,7,8,15,13,7,3,1,15,12,56,0.1,0.4666666666666667
