,UCLA ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jordin Canada,6,12,5,11,1,1,2,2,1,4,16,4,0,3,2,15,0.16666666666666666,5.333333333333333
1,Kennedy Burke,6,9,4,7,2,2,0,0,4,6,1,3,3,2,0,14,0.0,0.5
2,Kelli Hayes,4,7,4,7,0,0,0,0,1,3,4,0,0,2,4,8,0.0,2.0
3,Monique Billings,7,10,7,10,0,0,5,12,0,7,0,1,2,1,4,19,0.5,0.0
4,Kari Korver,3,5,0,0,3,5,0,0,0,2,1,1,1,2,4,9,0.0,0.5
9,School Totals,32,55,22,38,10,17,9,18,8,28,24,11,7,13,14,83,0.16363636363636364,1.8461538461538463
