,Navy ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Audrey Bauer,2,15,1,6,1,9,0,0,1,2,3,1,1,3,1,5,0.0,1.0
1,Jade Geif,7,10,7,10,0,0,0,0,2,5,1,1,0,1,2,14,0.0,1.0
2,Kara Pollinger,1,9,0,6,1,3,2,2,0,4,3,0,0,1,0,5,0.2222222222222222,3.0
3,Erin Edwards,2,5,1,2,1,3,0,0,0,3,2,1,0,0,0,5,0.0,0.0
4,Alix Membreno,3,11,2,7,1,4,0,0,0,5,0,0,0,3,4,7,0.0,0.0
9,School Totals,18,59,12,34,6,25,2,2,4,20,10,4,1,10,13,44,0.03389830508474576,1.0
