,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Anjale Barrett,1,5,1,4,0,1,2,2,1,5,4,3,0,2,0,4,0.4,2.0
1,Alyssa Thomas,7,14,7,14,0,0,3,4,1,9,4,0,0,1,2,17,0.21428571428571427,4.0
2,Laurin Mincy,5,8,4,6,1,2,3,5,0,6,1,0,0,1,1,14,0.375,1.0
3,Tianna Hawkins,3,8,3,8,0,0,0,0,1,4,1,1,0,3,3,6,0.0,0.3333333333333333
4,Alicia DeVaughn,2,6,2,6,0,0,1,1,4,3,1,1,1,1,3,5,0.16666666666666666,1.0
11,School Totals,22,58,18,48,4,10,11,14,11,33,13,5,1,11,9,59,0.1896551724137931,1.1818181818181819
