,California ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Layshia Clarendon,7,13,4,8,3,5,0,1,0,1,4,3,0,5,4,17,0.0,0.8
1,Gennifer Brandon,3,6,3,6,0,0,3,4,5,7,1,2,0,2,3,9,0.5,0.5
2,Brittany Boyd,4,9,4,8,0,1,1,3,0,0,4,1,0,5,5,9,0.1111111111111111,0.8
3,Talia Caldwell,1,3,1,3,0,0,0,2,1,1,0,0,0,1,2,2,0.0,0.0
4,Lindsay Sherbert,1,3,0,0,1,3,0,0,0,0,0,2,0,1,1,3,0.0,0.0
9,School Totals,25,56,20,44,5,12,7,14,14,16,15,8,0,19,23,62,0.125,0.7894736842105263
