,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alexis Morris,5,19,2,8,3,11,1,1,2,3,7,2,0,1,1,14,0.05263157894736842,7.0
1,Kalani Brown,8,19,8,19,0,0,3,3,2,8,1,2,0,1,1,19,0.15789473684210525,1.0
2,Dekeiya Cohen,6,10,6,10,0,0,0,0,4,3,4,2,1,2,3,12,0.0,2.0
3,Lauren Cox,6,12,6,10,0,2,3,4,2,5,3,1,5,3,5,15,0.25,1.0
4,Juicy Landrum,0,2,0,1,0,1,0,0,0,1,2,0,0,2,1,0,0.0,1.0
7,School Totals,28,71,25,54,3,17,8,11,14,21,20,7,7,9,15,67,0.11267605633802817,2.2222222222222223
