,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Katie McWilliams,2,8,1,4,1,4,2,2,0,4,3,0,1,1,2,7,0.25,3.0
1,Marie Gulich,10,17,10,17,0,0,6,9,4,5,2,3,1,1,3,26,0.35294117647058826,2.0
2,Kat Tudor,5,10,1,2,4,8,2,2,0,8,3,1,0,3,2,16,0.2,1.0
3,Taya Corosdale,4,8,1,3,3,5,0,0,1,3,1,0,1,4,2,11,0.0,0.25
4,Mikayla Pivec,2,5,2,5,0,0,3,4,2,5,9,0,0,3,4,7,0.6,3.0
8,School Totals,24,53,15,33,9,20,15,19,8,29,19,4,3,14,15,72,0.2830188679245283,1.3571428571428572
