,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Makayla Epps,13,26,10,19,3,7,1,3,0,5,4,0,0,1,1,30,0.038461538461538464,4.0
1,Janee Thompson,5,14,4,6,1,8,0,0,1,0,5,1,0,1,3,11,0.0,5.0
2,Evelyn Akhator,5,11,5,11,0,0,0,2,4,10,1,0,0,2,4,10,0.0,0.5
3,Maci Morris,3,7,2,4,1,3,0,0,0,3,0,0,0,2,3,7,0.0,0.0
4,Batouly Camara,1,3,1,3,0,0,0,0,1,4,1,0,0,0,2,2,0.0,0.0
8,School Totals,32,80,27,59,5,21,3,9,10,31,13,3,1,7,18,72,0.0375,1.8571428571428572
