,Marquette ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Natisha Hiedeman,7,17,3,7,4,10,0,0,0,6,7,2,0,2,2,18,0.0,3.5
1,Danielle King,6,11,5,9,1,2,2,3,0,2,4,0,0,3,2,15,0.18181818181818182,1.3333333333333333
2,Selena Lott,2,4,1,1,1,3,0,0,3,5,4,1,1,1,3,5,0.0,4.0
3,Lauren Van Kleunen,5,10,4,9,1,1,3,3,1,5,2,0,0,0,1,14,0.3,0.0
4,Allazia Blockton,6,13,4,9,2,4,1,2,0,2,0,1,0,1,3,15,0.07692307692307693,0.0
8,School Totals,29,60,19,38,10,22,8,10,5,26,22,6,2,10,17,76,0.13333333333333333,2.2
