,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chennedy Carter,12,28,8,20,4,8,2,4,3,6,5,1,1,2,3,30,0.07142857142857142,2.5
1,Shambria Washington,4,12,1,8,3,4,2,2,0,1,6,0,0,3,2,13,0.16666666666666666,2.0
2,N'dea Jones,6,13,6,13,0,0,1,3,7,6,3,1,1,1,2,13,0.07692307692307693,3.0
3,Ciera Johnson,5,11,5,11,0,0,1,2,4,8,2,0,1,0,1,11,0.09090909090909091,0.0
4,Kayla Wells,5,8,4,6,1,2,0,1,1,2,1,0,0,2,4,11,0.0,0.5
7,School Totals,32,72,24,58,8,14,6,12,15,23,17,3,3,8,12,78,0.08333333333333333,2.125
