,Missouri State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brice Calip,3,10,2,7,1,3,2,4,1,3,4,2,0,1,2,9,0.2,4.0
1,Sydney Wilson,0,3,0,3,0,0,2,4,1,2,2,0,0,0,1,2,0.6666666666666666,0.0
2,Jasmine Franklin,1,10,1,10,0,0,6,8,6,7,0,1,0,6,3,8,0.6,0.0
3,Mya Bhinhar,0,3,0,3,0,0,0,0,0,2,2,0,0,1,2,0,0.0,2.0
4,Emily Gartner,2,6,2,5,0,1,2,2,3,4,0,0,0,3,0,6,0.3333333333333333,0.0
10,School Totals,20,64,12,49,8,15,14,22,16,25,11,3,3,13,12,62,0.21875,0.8461538461538461
