,Creighton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lauren Jensen,8,15,5,8,3,7,0,0,2,5,0,1,1,3,0,19,0.0,0.0
1,Emma Ronsiek,5,14,4,8,1,6,2,4,3,7,4,0,2,2,2,13,0.14285714285714285,2.0
2,Tatum Rembao,1,3,1,3,0,0,0,0,1,1,5,0,0,1,3,2,0.0,5.0
3,Payton Brotzki,4,12,1,4,3,8,2,2,2,0,1,0,0,2,2,13,0.16666666666666666,0.5
4,Carly Bachelor,1,3,1,1,0,2,0,0,1,3,0,0,0,1,0,2,0.0,0.0
9,School Totals,24,67,14,33,10,34,6,10,15,32,15,3,6,14,12,64,0.08955223880597014,1.0714285714285714
