,Oregon ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sabrina Ionescu,6,10,5,7,1,3,6,6,2,8,11,1,0,2,2,19,0.6,5.5
1,Maite Cazorla,5,7,5,5,0,2,0,0,0,0,2,1,0,0,0,10,0.0,0.0
2,Ruthy Hebard,6,12,6,12,0,0,0,0,2,7,1,2,0,1,1,12,0.0,1.0
3,Satou Sabally,2,7,1,3,1,4,0,0,2,3,2,3,1,1,3,5,0.0,2.0
4,Lexi Bando,4,10,1,4,3,6,0,0,0,1,1,0,0,0,0,11,0.0,0.0
11,School Totals,37,70,32,53,5,17,9,11,12,29,23,9,4,9,11,88,0.12857142857142856,2.5555555555555554
