,St. Bonaventure ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jessica Jenkins,2,9,1,4,1,5,0,0,0,2,0,0,0,0,3,5,0.0,0.0
1,Armelia Horton,6,12,6,12,0,0,5,7,1,8,0,0,0,2,3,17,0.4166666666666667,0.0
2,Megan Van Tatenhove,5,7,5,7,0,0,8,10,1,3,0,0,0,1,3,18,1.1428571428571428,0.0
3,Doris Ortega,4,7,4,7,0,0,2,3,1,5,1,0,0,1,2,10,0.2857142857142857,1.0
4,Alaina Walker,0,1,0,1,0,0,1,2,1,1,0,0,0,4,5,1,1.0,0.0
9,School Totals,24,55,21,43,3,12,21,29,5,28,4,4,0,12,22,72,0.38181818181818183,0.3333333333333333
