,Florida Gulf Coast ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Eglah Griffin,4,10,1,3,3,7,0,1,1,5,1,0,1,2,3,11,0.0,0.5
1,Courtney Chihil,2,6,1,3,1,3,2,2,1,3,2,1,0,1,5,7,0.3333333333333333,2.0
2,Sarah Hansen,6,10,6,9,0,1,3,4,4,7,0,2,1,6,4,15,0.3,0.0
3,Brittany Kennedy,2,7,0,2,2,5,3,4,1,5,3,1,0,1,0,9,0.42857142857142855,3.0
4,Kelsey Jacobson,1,8,0,2,1,6,0,2,1,2,1,0,0,2,4,3,0.0,0.5
10,School Totals,20,56,13,30,7,26,18,24,9,28,9,4,3,14,23,65,0.32142857142857145,0.6428571428571429
