,UCLA ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Doreena Campbell,3,8,3,7,0,1,5,5,1,0,3,2,0,3,1,11,0.625,1.0
1,Jasmine Dixon,8,11,8,11,0,0,1,2,3,8,0,0,1,3,3,17,0.09090909090909091,0.0
2,Markel Walker,4,7,4,7,0,0,0,0,1,7,7,0,0,2,3,8,0.0,3.5
3,Erica Tukiainen,4,7,1,3,3,4,1,1,1,1,1,0,1,0,2,12,0.14285714285714285,0.0
4,Rebekah Gardner,4,9,4,7,0,2,5,5,1,0,1,3,0,1,0,13,0.5555555555555556,1.0
12,School Totals,28,55,24,47,4,8,14,15,10,24,16,7,4,17,17,74,0.2545454545454545,0.9411764705882353
