,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jessica Shepard,10,19,10,19,0,0,0,0,7,6,7,1,0,3,2,20,0.0,2.3333333333333335
1,Jackie Young,5,15,4,13,1,2,0,0,2,3,2,0,0,0,3,11,0.0,0.0
2,Arike Ogunbowale,7,18,4,10,3,8,6,6,0,6,1,1,0,0,0,23,0.3333333333333333,0.0
3,Marina Mabrey,4,14,1,4,3,10,1,2,1,2,12,1,0,4,3,12,0.07142857142857142,3.0
4,Brianna Turner,4,9,4,9,0,0,7,8,6,9,2,0,5,0,2,15,0.7777777777777778,0.0
8,School Totals,30,77,23,57,7,20,14,16,17,29,24,3,5,8,12,81,0.18181818181818182,3.0
