,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Katie Lou Samuelson,7,17,4,7,3,10,3,3,1,1,6,0,1,4,3,20,0.17647058823529413,1.5
1,Napheesa Collier,7,14,6,12,1,2,0,0,5,8,1,0,4,1,1,15,0.0,1.0
2,Crystal Dangerfield,2,11,2,5,0,6,0,0,0,3,9,2,0,1,2,4,0.0,9.0
3,Christyn Williams,7,15,5,11,2,4,3,4,1,1,2,0,0,1,3,19,0.2,2.0
4,Megan Walker,6,12,4,6,2,6,0,0,0,8,2,2,2,0,4,14,0.0,0.0
6,School Totals,31,73,23,45,8,28,6,9,8,25,20,4,8,7,14,76,0.0821917808219178,2.857142857142857
