,South Florida ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Elena Tsineke,7,16,5,11,2,5,5,6,2,0,3,0,0,3,2,21,0.3125,1.0
1,Elisa Pinzan,7,16,4,7,3,9,2,2,0,7,3,2,0,2,3,19,0.125,1.5
2,Sydni Harvey,3,7,0,1,3,6,2,2,0,0,1,1,0,3,2,11,0.2857142857142857,0.3333333333333333
3,Bethy Mununga,3,11,3,10,0,1,0,0,3,5,1,2,0,4,4,6,0.0,0.25
4,Shae Leverett,0,1,0,1,0,0,0,0,0,1,1,2,0,0,2,0,0.0,0.0
10,School Totals,24,59,15,37,9,22,9,11,9,18,11,10,0,13,14,66,0.15254237288135594,0.8461538461538461
