,Miami ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Karla Erjavec,5,10,3,6,2,4,2,2,0,5,3,0,0,1,1,14,0.2,3.0
1,Kelsey Marshall,4,10,1,2,3,8,1,1,0,2,1,0,0,2,2,12,0.1,0.5
2,Ja'Leah Williams,4,7,4,6,0,1,2,3,0,1,3,2,0,1,1,10,0.2857142857142857,3.0
3,Lola Pendande,4,8,4,8,0,0,3,3,0,5,0,0,0,3,1,11,0.375,0.0
4,Destiny Harden,1,4,1,2,0,2,0,0,1,2,1,2,0,1,2,2,0.0,1.0
12,School Totals,30,56,22,34,8,22,10,11,4,22,11,7,3,12,11,78,0.17857142857142858,0.9166666666666666
