,Georgetown ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sugar Rodgers,10,16,3,6,7,10,7,8,3,6,4,2,2,3,1,34,0.4375,1.3333333333333333
1,Monica McNutt,5,8,1,1,4,7,0,0,1,1,5,2,0,1,2,14,0.0,5.0
2,Rubylee Wright,1,8,1,4,0,4,12,12,1,2,1,1,0,3,4,14,1.5,0.3333333333333333
3,Adria Crawford,1,6,1,6,0,0,2,2,4,5,1,1,0,0,1,4,0.3333333333333333,0.0
4,Latia Magee,0,3,0,2,0,1,0,0,1,2,0,0,0,3,4,0,0.0,0.0
11,School Totals,21,52,8,27,13,25,24,28,13,23,14,9,3,16,23,79,0.46153846153846156,0.875
