,Louisiana State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Allison Hightower,6,16,5,14,1,2,6,6,1,2,2,0,0,4,4,19,0.375,0.5
1,Katherine Graham,2,6,2,6,0,0,2,2,1,3,1,4,1,5,2,6,0.3333333333333333,0.2
2,Destini Hughes,2,5,2,3,0,2,0,0,0,2,6,2,0,6,1,4,0.0,1.0
3,LaSondra Barrett,5,12,5,11,0,1,2,2,1,2,3,0,0,4,3,12,0.16666666666666666,0.75
4,Courtney Jones,5,8,4,6,1,2,0,0,1,8,1,2,1,2,3,11,0.0,0.5
7,School Totals,20,48,18,41,2,7,10,10,5,19,13,9,4,22,15,52,0.20833333333333334,0.5909090909090909
