,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Blair Schaefer,6,12,2,4,4,8,2,2,0,3,0,1,0,1,1,18,0.16666666666666666,0.0
1,Ketara Chapel,2,2,2,2,0,0,2,2,1,2,0,0,0,2,3,6,1.0,0.0
2,Teaira McCowan,3,5,3,5,0,0,2,2,3,6,2,1,0,3,3,8,0.4,0.6666666666666666
3,Morgan William,0,2,0,2,0,0,0,0,1,2,2,0,0,0,1,0,0.0,0.0
4,Roshunda Johnson,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0.0,0.0
12,School Totals,31,63,27,51,4,12,26,30,16,25,14,7,1,11,17,92,0.4126984126984127,1.2727272727272727
