,Penn State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Dara Taylor,2,11,2,9,0,2,0,0,0,3,4,1,1,2,1,4,0.0,2.0
1,Maggie Lucas,8,18,5,10,3,8,3,4,0,9,2,2,0,3,1,22,0.16666666666666666,0.6666666666666666
2,Ariel Edwards,7,14,7,13,0,1,3,5,1,4,3,1,0,3,4,17,0.21428571428571427,1.0
3,Talia East,6,9,6,9,0,0,1,6,6,7,0,0,2,3,4,13,0.1111111111111111,0.0
4,Tori Waldner,1,2,1,2,0,0,0,0,3,3,1,0,0,1,0,2,0.0,1.0
9,School Totals,26,59,23,48,3,11,7,15,14,28,11,4,3,15,16,62,0.11864406779661017,0.7333333333333333
