,Drake ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Becca Hittner,8,17,5,9,3,8,0,0,0,2,1,1,1,2,2,19,0.0,0.5
1,Sammie Bachrodt,1,4,0,0,1,4,0,0,1,5,10,0,0,3,0,3,0.0,3.3333333333333335
2,Brenni Rose,5,8,5,7,0,1,0,0,0,0,4,0,0,3,0,10,0.0,1.3333333333333333
3,Maddie Petersen,3,5,2,4,1,1,0,0,0,0,1,0,0,3,3,7,0.0,0.3333333333333333
4,Becca Jonas,1,5,1,4,0,1,1,2,4,0,1,0,1,1,2,3,0.2,1.0
10,School Totals,33,62,25,38,8,24,2,3,7,20,29,4,2,18,17,76,0.03225806451612903,1.6111111111111112
