,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nina Davis,7,13,7,13,0,0,3,4,2,2,1,1,1,0,0,17,0.23076923076923078,0.0
1,Niya Johnson,2,3,2,3,0,0,1,2,1,5,8,0,0,0,1,5,0.3333333333333333,0.0
2,Alexis Prince,6,10,4,6,2,4,0,0,3,5,2,0,0,0,0,14,0.0,0.0
3,Imani Wright,0,2,0,1,0,1,2,2,1,1,2,0,0,0,0,2,1.0,0.0
4,Sune Agbuke,1,2,1,2,0,0,0,0,1,4,3,0,1,0,1,2,0.0,0.0
11,School Totals,30,61,28,54,2,7,15,20,14,36,23,5,8,5,5,77,0.2459016393442623,4.6
