,Robert Morris ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Artemis Spanou,2,4,1,2,1,2,2,2,2,4,4,2,1,8,4,7,0.5,0.5
1,Anna Niki Stamolamprou,5,14,3,6,2,8,0,0,1,1,0,0,0,2,0,12,0.0,0.0
2,Ashley Ravelli,2,13,1,7,1,6,0,0,1,0,3,1,0,0,3,5,0.0,0.0
3,Cassie Oursler,1,4,1,4,0,0,2,3,1,3,0,1,0,2,3,4,0.5,0.0
4,Janee Brown,0,2,0,2,0,0,0,0,1,1,2,0,0,1,0,0,0.0,2.0
11,School Totals,14,52,7,31,7,21,7,11,9,10,9,6,1,17,11,42,0.1346153846153846,0.5294117647058824
