,South Dakota ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nicole Seekamp,9,13,8,11,1,2,3,3,0,5,1,2,0,2,3,22,0.23076923076923078,0.5
1,Tia Hemiller,3,7,1,4,2,3,0,0,2,6,3,3,0,3,3,8,0.0,1.0
2,Raeshel Contreras,1,10,1,6,0,4,2,2,0,3,4,0,0,1,1,4,0.2,4.0
3,Lisa Loeffler,3,8,3,5,0,3,0,0,2,1,1,0,1,0,1,6,0.0,0.0
4,Polly Harrington,4,6,3,5,1,1,0,0,0,4,3,0,0,3,5,9,0.0,1.0
11,School Totals,24,55,18,37,6,18,8,11,7,23,14,5,2,13,17,62,0.14545454545454545,1.0769230769230769
