,Michigan ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Naz Hillmon,7,10,7,10,0,0,2,4,3,4,1,1,0,3,4,16,0.2,0.3333333333333333
1,Leigha Brown,9,15,8,13,1,2,4,4,1,6,1,2,0,5,4,23,0.26666666666666666,0.2
2,Akienreh Johnson,5,14,2,9,3,5,1,2,1,1,3,1,1,6,2,14,0.07142857142857142,0.5
3,Danielle Rauch,3,7,1,1,2,6,1,1,1,4,5,0,0,3,2,9,0.14285714285714285,1.6666666666666667
4,Hailey Brown,2,8,0,2,2,6,0,0,0,4,4,1,0,2,4,6,0.0,2.0
7,School Totals,29,62,20,39,9,23,8,11,6,23,17,6,2,19,19,75,0.12903225806451613,0.8947368421052632
