,South Dakota State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Macy Miller,6,18,5,13,1,5,8,9,2,6,2,1,0,1,0,21,0.4444444444444444,2.0
1,Myah Selland,6,17,5,13,1,4,0,2,0,5,4,1,1,1,1,13,0.0,4.0
2,Madison Guebert,1,9,0,2,1,7,0,0,1,3,1,0,0,0,4,3,0.0,0.0
3,Tagyn Larson,2,9,2,8,0,1,0,0,2,4,0,0,0,0,1,4,0.0,0.0
4,Tylee Irwin,3,11,2,7,1,4,0,0,2,2,1,0,1,0,3,7,0.0,0.0
9,School Totals,20,75,15,51,5,24,8,11,12,25,10,4,2,3,12,53,0.10666666666666667,3.3333333333333335
