,Oregon ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sabrina Ionescu,8,14,7,10,1,4,0,1,1,6,11,1,0,2,2,17,0.0,5.5
1,Satou Sabally,6,14,5,8,1,6,1,2,1,8,3,0,3,0,2,14,0.07142857142857142,0.0
2,Maite Cazorla,2,6,0,1,2,5,0,0,0,0,0,0,0,2,2,6,0.0,0.0
3,Ruthy Hebard,8,15,8,15,0,0,8,9,3,11,0,0,4,0,1,24,0.5333333333333333,0.0
4,Erin Boley,0,7,0,2,0,5,0,0,0,2,0,0,0,0,3,0,0.0,0.0
8,School Totals,25,58,21,38,4,20,9,14,6,32,14,2,7,5,11,63,0.15517241379310345,2.8
