,North Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Cetera DeGraffenreid,3,6,3,4,0,2,5,6,0,1,4,0,0,3,2,11,0.8333333333333334,1.3333333333333333
1,Chay Shegog,4,8,4,8,0,0,4,4,2,3,0,2,1,1,2,12,0.5,0.0
2,Italee Lucas,7,15,3,7,4,8,4,5,2,4,2,2,0,3,2,22,0.26666666666666666,0.6666666666666666
3,Jessica Breland,3,7,2,6,1,1,3,6,3,6,2,1,2,3,3,10,0.42857142857142855,0.6666666666666666
4,Krista Gross,1,4,1,2,0,2,0,0,3,1,0,1,1,1,0,2,0.0,0.0
10,School Totals,27,58,21,42,6,16,22,29,16,31,13,8,6,15,14,82,0.3793103448275862,0.8666666666666667
