,North Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Diamond DeShields,5,15,4,9,1,6,2,2,0,4,1,1,0,3,3,13,0.13333333333333333,0.3333333333333333
1,Allisha Gray,8,13,5,7,3,6,0,1,3,6,0,0,0,1,2,19,0.0,0.0
2,Xylina McDaniel,2,8,0,5,2,3,3,4,1,4,0,0,1,4,4,9,0.375,0.0
3,Stephanie Mavunga,4,8,4,8,0,0,0,0,1,7,0,1,0,2,4,8,0.0,0.0
4,Latifah Coleman,1,4,0,1,1,3,1,2,0,0,6,1,0,3,0,4,0.25,2.0
9,School Totals,25,60,16,38,9,22,6,9,7,24,10,4,2,13,17,65,0.1,0.7692307692307693
