,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Lindsey Pulliam,40,.663,.594,.125,.375,0.0,9.4,5.4,23.1,1.5,2.3,13.9,33.2,112,84,
1,Jordan Hamilton,39,.475,.500,.571,.429,0.0,3.2,1.8,43.4,3.1,0.0,32.5,19.4,84,85,
2,Sydney Wood,36,,,,,0.0,13.9,7.9,15.2,3.3,5.1,100.0,5.1,45,76,
3,Veronica Burton,33,.252,.143,.429,.286,0.0,22.7,13.0,17.5,1.8,2.8,11.3,16.5,63,75,
4,Paige Mott,11,.886,1.000,.000,.667,15.2,11.4,13.0,0.0,0.0,0.0,20.5,27.2,130,86,
6,Courtney Shaw,29,.550,.556,.000,.444,5.7,12.9,9.9,18.3,2.1,9.4,0.0,22.7,115,78,
7,Lauryn Satterwhite,12,1.034,1.500,1.000,4.000,0.0,10.4,6.0,0.0,5.0,0.0,26.6,19.2,130,77,
8,School Totals,200,.585,.547,.233,.488,8.3,59.4,37.5,86.4,12.1,15.9,19.7,100.0,93.9,77.3,
