,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tiffany Mitchell,5,11,4,7,1,4,0,0,0,3,1,0,0,1,3,11,0.0,1.0
1,Aleighsa Welch,5,11,5,11,0,0,0,2,9,5,2,2,0,1,1,10,0.0,2.0
2,Khadijah Sessions,2,5,1,3,1,2,0,0,0,0,2,2,0,0,1,5,0.0,0.0
3,Asia Dozier,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.0,1.0
4,Elem Ibiam,0,2,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0.0,0.0
10,School Totals,28,65,26,53,2,12,7,16,13,27,13,7,6,12,13,65,0.1076923076923077,1.0833333333333333
