,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jewell Loyd,9,24,8,23,1,1,3,3,0,5,3,1,0,3,0,22,0.125,1.0
1,Taya Reimer,7,10,7,10,0,0,2,2,3,3,4,1,3,2,3,16,0.2,2.0
2,Brianna Turner,6,13,6,13,0,0,5,7,3,5,0,1,3,0,5,17,0.38461538461538464,0.0
3,Michaela Mabrey,1,5,0,3,1,2,2,2,0,1,5,3,0,1,0,5,0.4,5.0
4,Lindsay Allen,0,5,0,4,0,1,0,0,0,4,3,0,0,2,5,0,0.0,1.5
8,School Totals,26,64,24,59,2,5,12,14,10,24,16,7,6,10,17,66,0.1875,1.6
