,Louisiana State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,DaShawn Harden,7,16,5,8,2,8,0,0,1,3,0,3,0,2,3,16,0.0,0.0
1,Raigyne Louis,5,15,5,15,0,0,3,4,4,6,4,0,1,2,1,13,0.2,2.0
2,Danielle Ballard,8,14,8,14,0,0,1,2,1,6,3,6,2,3,1,17,0.07142857142857142,1.0
3,Sheila Boykin,0,1,0,1,0,0,0,0,1,2,1,0,1,0,3,0,0.0,0.0
4,Anne Pedersen,1,4,0,2,1,2,0,0,0,2,0,0,0,3,4,3,0.0,0.0
10,School Totals,26,67,23,54,3,13,9,12,11,24,10,10,5,16,21,64,0.13432835820895522,0.625
