,St. John's ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Centhya Hart,6,11,6,11,0,0,3,3,2,3,0,1,0,0,2,15,0.2727272727272727,0.0
1,Nadirah McKenith,5,13,5,11,0,2,0,0,3,2,5,3,1,3,1,10,0.0,1.6666666666666667
2,Da'Shena Stevens,5,10,5,10,0,0,1,2,0,2,1,1,0,1,4,11,0.1,1.0
3,Shenneika Smith,1,8,1,5,0,3,0,0,1,2,1,1,0,1,3,2,0.0,1.0
4,Sky Lindsay,1,3,1,3,0,0,0,2,1,1,0,1,0,1,1,2,0.0,0.0
11,School Totals,22,60,21,53,1,7,4,7,10,11,11,7,1,9,14,49,0.06666666666666667,1.2222222222222223
