,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kayla Pedersen,5,9,3,4,2,5,2,2,2,6,5,0,0,3,0,14,0.2222222222222222,1.6666666666666667
1,Jeanette Pohlen,3,13,1,6,2,7,0,0,0,0,4,0,0,1,0,8,0.0,4.0
2,Nnemkadi Ogwumike,10,16,10,16,0,0,2,3,2,3,1,1,1,0,0,22,0.125,0.0
3,Chiney Ogwumike,5,8,5,8,0,0,3,5,6,6,0,1,1,6,3,13,0.375,0.0
4,Lindy La Rocque,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0.0,0.0
13,School Totals,31,58,25,42,6,16,7,11,13,26,19,3,6,13,8,75,0.1206896551724138,1.4615384615384615
