,Oklahoma State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittney Martin,7,16,7,16,0,0,6,10,4,16,0,2,0,1,3,20,0.375,0.0
1,Liz Donohoe,4,8,3,4,1,4,3,3,1,2,2,1,2,2,4,12,0.375,1.0
2,Tiffany Bias,2,8,2,7,0,1,3,4,0,1,7,1,0,5,3,7,0.375,1.4
3,LaShawn Jones,6,9,6,9,0,0,4,7,4,8,1,0,0,3,3,16,0.4444444444444444,0.3333333333333333
4,Kendra Suttles,1,5,1,4,0,1,0,0,1,0,0,0,1,2,3,2,0.0,0.0
8,School Totals,24,56,21,46,3,10,22,32,11,30,14,9,4,16,19,73,0.39285714285714285,0.875
