,Oklahoma State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Natasha Mack,4,12,4,12,0,0,5,6,2,8,2,1,1,2,3,13,0.4166666666666667,1.0
1,Lauren Fields,2,9,1,4,1,5,1,2,1,7,4,2,0,3,4,6,0.1111111111111111,1.3333333333333333
2,Ja'Mee Asberry,2,6,1,3,1,3,0,2,0,0,3,2,0,4,2,5,0.0,0.75
3,Neferatali Notoa,6,13,4,6,2,7,0,0,2,3,2,2,0,4,3,14,0.0,0.5
4,Taylen Collins,3,6,3,6,0,0,0,1,0,5,1,3,1,2,1,6,0.0,0.5
8,School Totals,23,56,17,38,6,18,10,15,6,25,14,10,2,15,14,62,0.17857142857142858,0.9333333333333333
