,Michigan ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jillian Dunston,3,4,3,4,0,0,0,1,1,8,4,1,1,1,3,6,0.0,4.0
1,Katelynn Flaherty,6,13,4,11,2,2,6,6,0,3,4,1,0,4,1,20,0.46153846153846156,1.0
2,Nicole Munger,3,6,3,5,0,1,2,2,1,7,0,1,0,0,2,8,0.3333333333333333,0.0
3,Akienreh Johnson,2,5,2,4,0,1,1,2,1,1,2,2,0,4,3,5,0.2,0.5
4,Hallie Thome,9,14,9,14,0,0,6,8,5,1,0,0,0,5,2,24,0.42857142857142855,0.0
10,School Totals,28,49,26,45,2,4,17,23,8,22,11,6,2,19,16,75,0.3469387755102041,0.5789473684210527
