,Belmont ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Destinee Wells,9,25,7,18,2,7,2,3,3,3,4,2,0,1,1,22,0.08,4.0
1,Tuti Jones,6,12,4,8,2,4,3,5,3,3,4,2,0,1,4,17,0.25,4.0
2,Jamilyn Kinney,2,6,1,2,1,4,0,2,0,3,2,0,0,1,1,5,0.0,2.0
3,Madison Bartley,7,14,5,8,2,6,0,0,2,4,1,0,2,1,5,16,0.0,1.0
4,Conley Chinn,2,9,1,3,1,6,0,0,0,3,0,0,0,0,1,5,0.0,0.0
9,School Totals,27,73,19,42,8,31,5,10,15,21,13,6,2,8,17,67,0.0684931506849315,1.625
