,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Imani Wright,3,6,3,4,0,2,3,3,0,2,1,0,1,0,0,9,0.5,0.0
1,Ama Degbeon,1,2,1,2,0,0,0,0,2,3,2,0,0,0,1,2,0.0,0.0
2,Chatrice White,5,8,5,8,0,0,3,6,3,7,0,2,1,2,3,13,0.375,0.0
3,AJ Alix,5,7,4,5,1,2,1,1,2,3,5,2,0,2,3,12,0.14285714285714285,2.5
4,Shakayla Thomas,11,15,11,14,0,1,4,11,0,4,0,3,0,1,1,26,0.26666666666666666,0.0
9,School Totals,35,60,32,51,3,9,18,29,14,27,12,9,2,11,14,91,0.3,1.0909090909090908
