,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,DePaul ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Brittany Hrynko,38,5,11,.455,3,8,.375,2,3,.667,3,6,.500,0,6,6,3,3,0,8,0,15
1,Katherine Harry,38,5,12,.417,5,12,.417,0,0,,2,4,.500,2,7,9,2,1,0,2,2,12
2,Deanna Ortiz,37,1,7,.143,0,1,.000,1,6,.167,0,0,,0,4,4,0,4,2,0,2,3
3,Anna Martin,35,8,12,.667,8,11,.727,0,1,.000,1,2,.500,2,4,6,1,2,0,2,3,17
4,Jasmine Penny,35,4,10,.400,4,10,.400,0,0,,4,5,.800,1,0,1,1,4,1,2,3,12
6,Megan Rogowski,9,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0
7,Kelsey Reynolds,8,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0
8,School Totals,200,23,54,.426,20,43,.465,3,11,.273,10,17,.588,5,21,26,7,14,3,15,11,59
