,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,DePaul ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Haley Steed,40,.300,.300,.800,.000,2.9,12.5,7.5,33.3,2.8,0.0,16.7,14.4,83,87,
1,Kristen Riley,36,.438,.350,.200,.300,6.3,34.7,19.9,46.7,1.6,2.6,30.6,21.7,86,83,
2,Kim Beeston,27,.167,.167,.778,.000,4.2,9.3,6.6,24.0,4.2,3.4,18.2,19.5,52,82,
3,Lexi Rydalch,26,.354,.250,.125,.500,17.6,4.8,11.5,0.0,4.3,0.0,23.5,23.5,71,85,
4,Dani Peterson,16,.333,.333,.000,.000,0.0,23.4,11.2,0.0,3.5,5.8,50.0,18.0,32,79,
6,Jennifer Hamson,28,.728,.692,.000,.231,16.3,31.3,23.5,20.0,0.0,6.6,17.3,29.7,123,83,
7,Stephanie Seaborn,27,.500,.500,1.000,.000,8.5,0.0,4.4,0.0,0.0,0.0,25.0,14.2,80,96,
8,School Totals,200,.431,.390,.407,.169,40.0,84.4,61.2,85.0,11.3,11.6,23.9,100.0,77.5,83.1,
