,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ariel Massengale,6,15,3,7,3,8,0,0,0,3,4,0,0,2,1,15,0.0,2.0
1,Cierra Burdick,7,17,7,15,0,2,8,8,6,9,0,2,0,2,4,22,0.47058823529411764,0.0
2,Jordan Reynolds,2,6,1,5,1,1,7,8,3,4,3,1,1,0,0,12,1.1666666666666667,0.0
3,Bashaara Graves,3,12,3,12,0,0,1,1,7,0,0,1,1,1,4,7,0.08333333333333333,0.0
4,Andraya Carter,0,6,0,3,0,3,0,0,1,1,0,1,0,2,4,0,0.0,0.0
8,School Totals,23,71,17,52,6,19,21,22,21,20,8,5,3,10,18,73,0.29577464788732394,0.8
