,Minnesota ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Carlie Wagner,7,15,1,5,6,10,0,0,1,3,0,0,0,3,0,20,0.0,0.0
1,Destiny Pitts,6,17,2,8,4,9,1,2,1,1,4,0,0,2,3,17,0.058823529411764705,2.0
2,Kenisha Bell,6,13,5,12,1,1,1,2,0,5,8,0,0,3,3,14,0.07692307692307693,2.6666666666666665
3,Gadiva Hubbard,2,10,1,2,1,8,0,0,1,2,7,3,0,0,4,5,0.0,0.0
4,Bryanna Fernstrom,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,0.0
8,School Totals,28,66,16,38,12,28,5,8,7,13,20,4,0,9,16,73,0.07575757575757576,2.2222222222222223
