,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,AD Durr,7,19,6,13,1,6,6,10,0,9,5,0,0,1,2,21,0.3157894736842105,5.0
1,Sam Fuehring,6,13,5,10,1,3,2,2,4,3,1,2,0,0,4,15,0.15384615384615385,0.0
2,Arica Carter,3,13,2,4,1,9,0,0,1,1,2,2,0,1,1,7,0.0,2.0
3,Jazmine Jones,5,9,5,8,0,1,0,1,1,3,6,0,0,1,3,10,0.0,6.0
4,Bionca Dunham,4,6,4,6,0,0,0,0,3,2,2,0,1,0,3,8,0.0,0.0
8,School Totals,29,69,25,47,4,22,11,17,11,22,16,9,2,5,16,73,0.15942028985507245,3.2
