,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jaime Nared,9,18,6,13,3,5,7,7,4,7,0,1,0,5,3,28,0.3888888888888889,0.0
1,Mercedes Russell,4,9,4,9,0,0,3,6,2,11,3,0,2,2,3,11,0.3333333333333333,1.5
2,Jordan Reynolds,1,6,1,5,0,1,0,0,3,8,4,1,0,2,3,2,0.0,2.0
3,Diamond DeShields,3,12,3,9,0,3,9,12,2,1,1,1,2,1,4,15,0.75,1.0
4,Alexa Middleton,2,7,1,3,1,4,0,0,0,2,3,1,0,1,0,5,0.0,3.0
8,School Totals,20,60,15,42,5,18,19,27,12,31,11,4,4,13,18,64,0.31666666666666665,0.8461538461538461
