,Nebraska ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lindsey Moore,5,21,5,15,0,6,2,2,3,3,2,1,0,4,1,12,0.09523809523809523,0.5
1,Kaitlyn Burke,7,9,7,9,0,0,0,0,0,1,4,1,0,3,2,14,0.0,1.3333333333333333
2,Emily Cady,3,4,2,3,1,1,3,3,4,6,0,0,2,3,3,10,0.75,0.0
3,Jordan Hooper,4,18,4,10,0,8,3,3,3,6,0,0,1,1,0,11,0.16666666666666666,0.0
4,Hailie Sample,0,0,0,0,0,0,0,1,1,2,1,1,0,0,1,0,0.0,0.0
10,School Totals,20,61,19,42,1,19,8,9,12,25,7,4,5,15,14,49,0.13114754098360656,0.4666666666666667
