,Oregon ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maite Cazorla,3,9,2,7,1,2,0,0,0,5,6,0,0,2,0,7,0.0,3.0
1,Sabrina Ionescu,10,14,6,8,4,6,5,7,2,5,9,3,0,3,1,29,0.35714285714285715,3.0
2,Lexi Bando,4,9,1,1,3,8,0,0,0,1,2,1,0,1,2,11,0.0,2.0
3,Ruthy Hebard,11,14,11,14,0,0,0,2,2,8,1,1,4,0,1,22,0.0,0.0
4,Satou Sabally,4,6,2,2,2,4,2,2,1,5,3,2,1,1,2,12,0.3333333333333333,3.0
11,School Totals,39,64,28,42,11,22,12,17,9,30,27,7,6,11,10,101,0.1875,2.4545454545454546
