,DePaul ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brooke Schulte,8,16,8,15,0,1,0,0,1,6,2,1,0,2,3,16,0.0,1.0
1,Jessica January,7,19,3,11,4,8,0,2,1,3,9,1,0,1,4,18,0.0,9.0
2,Laura Prochaska,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0.0,1.0
3,Amarah Coleman,2,6,1,2,1,4,3,3,2,0,1,0,0,1,2,8,0.5,1.0
4,Jacqui Grant,1,5,0,1,1,4,0,0,0,1,0,0,0,0,5,3,0.0,0.0
10,School Totals,27,66,17,37,10,29,7,11,9,16,15,3,2,10,28,71,0.10606060606060606,1.5
