,Iowa State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Seanna Johnson,7,10,6,9,1,1,6,8,4,7,6,2,1,5,2,21,0.6,1.2
1,Jadda Buckley,4,10,1,3,3,7,0,0,0,0,3,1,0,5,2,11,0.0,0.6
2,Emily Durr,2,14,1,2,1,12,0,0,1,1,2,1,1,2,1,5,0.0,1.0
3,Bridget Carleton,4,15,2,10,2,5,0,0,2,1,0,1,0,2,4,10,0.0,0.0
4,Meredith Burkhall,4,6,3,5,1,1,2,2,1,5,0,0,0,0,4,11,0.3333333333333333,0.0
11,School Totals,24,63,16,36,8,27,9,12,12,21,15,6,4,17,13,65,0.14285714285714285,0.8823529411764706
