,East Tennessee State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tarita Gordon,11,18,6,10,5,8,3,7,0,6,3,2,0,1,3,30,0.16666666666666666,3.0
1,Siarre Evans,6,17,2,9,4,8,4,6,3,4,3,1,0,2,4,20,0.23529411764705882,1.5
2,TaRonda Wiles,5,11,1,3,4,8,0,0,2,4,1,2,0,5,1,14,0.0,0.2
3,Tara Davis,3,11,2,7,1,4,4,4,1,4,7,1,0,2,3,11,0.36363636363636365,3.5
4,Gwen Washington,2,3,1,1,1,2,0,0,2,0,1,1,0,3,3,5,0.0,0.3333333333333333
11,School Totals,28,64,13,33,15,31,11,17,11,19,16,8,3,15,19,82,0.171875,1.0666666666666667
