,Fresno State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jaleesa Ross,5,21,1,1,4,20,0,0,2,2,2,2,0,1,4,14,0.0,2.0
1,Taja Edwards,1,6,1,6,0,0,5,6,7,1,1,0,0,0,3,7,0.8333333333333334,0.0
2,Rosie Moult,4,16,0,2,4,14,2,4,2,1,3,2,1,2,3,14,0.125,1.5
3,Marnique Arnold,2,6,2,5,0,1,1,2,2,3,1,1,0,1,3,5,0.16666666666666666,1.0
4,Taylor Thompson,0,2,0,1,0,1,0,0,2,1,0,2,0,2,0,0,0.0,0.0
9,School Totals,21,71,7,21,14,50,12,16,18,13,15,10,1,11,21,68,0.16901408450704225,1.3636363636363635
