,DePaul ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Felicia Chester,6,12,6,11,0,1,0,0,6,4,4,6,0,4,2,12,0.0,1.0
1,Anna Martin,5,17,5,12,0,5,0,0,0,0,1,2,1,0,0,10,0.0,0.0
2,Sam Quigley,3,9,3,5,0,4,1,2,1,3,1,1,0,1,1,7,0.1111111111111111,1.0
3,Katherine Harry,5,11,5,11,0,0,0,1,5,2,2,0,1,0,0,10,0.0,0.0
4,Keisha Hampton,3,13,2,10,1,3,2,5,1,4,2,2,1,3,4,9,0.15384615384615385,0.6666666666666666
8,School Totals,25,67,22,52,3,15,3,8,15,14,10,12,3,8,8,56,0.04477611940298507,1.25
