,Utah Valley ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shay Fano,1,7,0,3,1,4,0,0,1,3,2,0,0,0,3,3,0.0,0.0
1,Maria Carvalho,2,15,1,12,1,3,1,5,1,7,4,0,0,1,3,6,0.06666666666666667,4.0
2,Josie Williams,5,9,4,7,1,2,7,10,2,3,0,0,1,2,3,18,0.7777777777777778,0.0
3,Nehaa Sohail,2,5,1,2,1,3,0,0,0,0,1,0,0,3,1,5,0.0,0.3333333333333333
4,Kayla Anderson,1,2,1,1,0,1,0,0,0,3,0,0,0,1,2,2,0.0,0.0
11,School Totals,13,52,9,37,4,15,14,22,7,17,7,2,1,11,15,44,0.2692307692307692,0.6363636363636364
