,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Mariya Moore,7,10,2,5,5,5,0,2,5,4,4,0,0,2,3,19,0.0,2.0
1,AD Durr,8,22,7,14,1,8,6,8,0,6,1,4,0,1,2,23,0.2727272727272727,1.0
2,Myisha Hines-Allen,5,15,5,15,0,0,4,6,1,12,5,0,1,0,3,14,0.26666666666666666,0.0
3,Kylee Shook,3,8,2,6,1,2,0,0,1,4,1,0,0,0,2,7,0.0,0.0
4,Cortnee Walton,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0.0,0.0
11,School Totals,29,66,22,50,7,16,10,16,7,33,16,6,1,10,21,75,0.15151515151515152,1.6
