,Little Rock ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ka'Nesheia Cobbins,1,4,1,4,0,0,2,2,0,6,4,0,0,0,2,4,0.5,0.0
1,Taylor Gault,10,17,5,10,5,7,0,0,0,3,4,3,0,2,1,25,0.0,2.0
2,Alexius Dawn,1,8,0,3,1,5,3,4,1,2,3,1,0,3,2,6,0.375,1.0
3,Shanity James,2,4,2,3,0,1,0,2,3,1,3,1,1,0,3,4,0.0,0.0
4,Kaitlyn Pratt,3,4,3,4,0,0,0,0,2,2,3,0,0,1,3,6,0.0,3.0
8,School Totals,25,55,19,42,6,13,13,20,9,23,20,6,2,8,13,69,0.23636363636363636,2.5
