,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shoni Schimmel,12,18,6,7,6,11,3,6,0,4,3,3,0,4,1,33,0.16666666666666666,0.75
1,Monique Reid,4,13,4,12,0,1,5,5,1,3,0,4,0,3,2,13,0.38461538461538464,0.0
2,Tia Gibbs,4,6,4,5,0,1,4,4,0,3,6,7,2,1,1,12,0.6666666666666666,6.0
3,Keshia Hines,3,5,3,5,0,0,0,0,0,0,0,2,1,0,4,6,0.0,0.0
4,Asia Taylor,0,2,0,2,0,0,0,0,1,1,0,0,1,2,3,0,0.0,0.0
12,School Totals,28,53,19,37,9,16,20,25,4,17,11,20,4,12,16,85,0.37735849056603776,0.9166666666666666
